meeting details,Job profile,Job family,Overall experience(in years),Primary Skill,secondary Skill,certifications,Org Experience,TQ score,Language proficiency,Employment type (Full time/part time),Management level,Specialization,Trainings,Highest qualification,countrycode,Meeting required/optional,Email mention(yes/No),meeting type(series/instance),recent emails related to meeting invite(yes/No)
Agile scrum KT call,Packaged App Development Analyst,Software Engineering > Quality Engineering Architecture,9,Microsoft Functional Testing,ASP.NET MVC,Azure,10,10,"english, japanese",part time,12-Associate,Cloud,Azure,btech,IN,optional,yes,instance,yes
troubleshooting call - login issue,Tech Architecture Manager,Software Engineering > Quality Engineering Architecture,27,Microsoft Azure Machine Learning,Avanade Scrum Project Management,management ,7,8,"english, hindi",full time,12-Associate,Cloud,SAP,mba,IN,required,No,instance,yes
weekly status call ,Business Interlock Manager,Human Resources > Talent Strategy,21,Automated Testing,Quality Engineering Strategy Implementation,Azure,2,5,"english, hindi",full time,6-Senior Manager,Microsoft frontend,Java,btech,IN,optional,No,series,no
Java proect KT call,Vendor Management Specialist,Software Engineering > Custom Software Engineering,22,Advance Front End Development NodeJs,Culture Strategy,Google cloud,5,8,"english, french",full time,12-Associate,Microsoft backend,management,btech,IN,required,No,instance,yes
weekly status call ,Packaged App Development Analyst,Human Resources > People Advisor,3,Behavioral Sciences,Architectural Design,AWS,2,12,"english, hindi",part time,6-Senior Manager,project management,SAP,mca,IN,required,No,series,no
troubleshooting call - login issue,SW/App/Cloud Tech Support Assoc Manager,Training & Development > Business Interlock,2,Advance Front End Development NodeJs,Avanade Scrum Project Management,SAP,2,11,"english, german",full time,10-Senior Analyst,Azure,Java,btech,IN,optional,No,instance,no
Java proect KT call,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,19,SAP ABAP Development,SAP for Utilities ,Azure,16,11,"english, german",full time,11-Analyst,Azure,angular,mca,PH,optional,No,instance,yes
scrum call SAP project ,custom software engineering associate manager,Software Engineering > Quality Engineering,6,SAP ABAP Development,Avanade Scrum Project Management,management ,1,10,"english, hindi",part time,11-Analyst,Cloud,management,btech,IN,optional,No,instance,no
Test team status call,custom software engineering analyst,Software Engineering > Packaged Application Development,10,.NET Architecture,Amazon Web Services (AWS),java,18,8,"english, chinese",part time,10-Senior Analyst,AWS,management,mba,IN,optional,No,series,no
Agile scrum KT call,custom software engineering analyst,Human Resources > People Advisor,18,Microsoft Azure Machine Learning,Vendor Management,management ,6,10,"english, french",full time,6-Senior Manager,project management,management,mca,IN,optional,No,instance,yes
Agile scrum KT call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,6,Microsoft ASP.NET,ASP.NET MVC,management ,14,10,"english, hindi",full time,7-Manager,SAP,angular,bca,US,required,yes,instance,yes
troubleshooting call - login issue,Quality Engineering Team Lead,Software Engineering > Custom Software Engineering,1,Microsoft Azure Machine Learning,Architectural Design,management ,14,10,"english, german",part time,12-Associate,AWS,angular,btech,IN,optional,No,instance,yes
java training call,Business Interlock Manager,Information Technology Operations > Software/Application/Cloud Tech Support,26,Stakeholder Management,Candidate Relationship Management,front end,2,5,"english, hindi",full time,11-Analyst,project management,Azure,mca,IN,required,No,series,no
Test team status call,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,11,Advance Front End Development NodeJs,Vendor Management,AWS,17,6,"english, hindi",full time,12-Associate,Microsoft backend,management,mba,PH,optional,No,instance,yes
User login issue - client call,Business Interlock Manager,Software Engineering > Custom Software Engineering,24,Automated Testing,Architectural Design,management ,14,3,"english, hindi",full time,9-Team Lead/Consultant,Microsoft frontend,SAP,btech,SL,optional,No,instance,yes
User login issue - client call,SW/App/Cloud Tech Support Assoc Manager,Training & Development > Business Interlock,7,Business Operation Management,Agile Team Practices,Scrum,3,10,"english, hindi",full time,6-Senior Manager,Microsoft frontend,dot net,btech,PH,optional,yes,instance,yes
new vendor onboarding call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Packaged Application Development,7,Business Operation Management,Agile Team Practices,management ,3,8,"english, german",full time,10-Senior Analyst,Microsoft frontend,Java,bca,PH,optional,No,series,no
troubleshooting call - login issue,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Custom Software Engineering,2,Microsoft ASP.NET,Jakarta Enterprise Beans,AWS,17,11,"english, hindi",full time,11-Analyst,Microsoft frontend,dot net,btech,IN,required,No,instance,yes
people lead connect - discuss queries,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,18,Communications Development and Delivery,ASP.NET MVC,Azure,17,11,"english, french",full time,12-Associate,Google cloud,google cloud,btech,IN,optional,No,instance,yes
Test team status call,custom software engineering analyst,Software Engineering > Custom Software Engineering,21,Angular,IT Troubleshooting,AWS,1,6,"english, french",full time,10-Senior Analyst,Microsoft backend,management,mca,US,required,No,instance,yes
people lead connect - discuss queries,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Custom Software Engineering,9,SAP ABAP Development,Agile Team Practices,front end,13,8,"english, german",full time,11-Analyst,Microsoft frontend,angular,btech,IN,required,No,instance,yes
java training call,Business Interlock Manager,Information Technology Operations > Software/Application/Cloud Tech Support,2,Behavioral Sciences,Quality Engineering Strategy Implementation,front end,6,12,"english, french",full time,11-Analyst,Microsoft frontend,dot net,btech,US,optional,No,instance,yes
weekly status call ,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,2,SAP ABAP Development,Vendor Management,management ,17,6,"english, hindi",part time,12-Associate,AWS,dot net,mba,US,required,No,instance,no
User login issue - client call,Business Interlock Manager,Information Technology Operations > Software/Application/Cloud Tech Support,25,Angular,Amazon Web Services (AWS),Azure,7,10,"english, hindi",full time,12-Associate,SAP,management,btech,IN,required,No,instance,yes
weekly status call ,Business Interlock Manager,Software Engineering > Custom Software Engineering,9,Behavioral Sciences,Architectural Design,Selenium,18,12,"english, hindi",full time,7-Manager,Microsoft backend,Azure,btech,US,required,No,instance,yes
people lead connect - discuss queries,Packaged App Development Analyst,Software Engineering > Quality Engineering Architecture,28,Behavioral Sciences,Amazon Web Services (AWS),management ,8,11,"english, hindi",full time,6-Senior Manager,SAP,angular,btech,IN,optional,yes,instance,yes
Agile scrum KT call,Tech Architecture Manager,Software Engineering > Custom Software Engineering,16,Stakeholder Management,Jakarta Enterprise Beans,Azure,19,8,"english, hindi",full time,10-Senior Analyst,Microsoft frontend,google cloud,bca,US,optional,No,instance,yes
User login issue - client call,custom software engineering analyst,Software Engineering > Custom Software Engineering,22,Microsoft Functional Testing,Quality Engineering Strategy Implementation,Azure,18,3,"english, french",full time,10-Senior Analyst,Cloud,Azure,btech,IN,optional,yes,instance,yes
Agile scrum KT call,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,13,Angular,Culture Strategy,Scrum,12,11,"english, hindi",full time,10-Senior Analyst,Azure,SAP,mca,US,required,No,instance,yes
User login issue - client call,custom software engineering analyst,Software Engineering > Packaged Application Development,27,SAP ABAP Development,ASP.NET MVC,management ,16,11,"english, german",full time,12-Associate,SAP,management,bca,IN,optional,yes,instance,yes
Agile scrum KT call,Talent Strategy Senior Manager,Software Engineering > Quality Engineering Architecture,24,Microsoft ASP.NET,Avanade Scrum Project Management,Azure,9,11,"english, hindi",full time,12-Associate,Microsoft backend,dot net,btech,US,optional,yes,series,yes
Agile scrum KT call,custom software engineering analyst,Software Engineering > Custom Software Engineering,17,.NET Architecture,Agile Team Practices,AWS,3,8,"english, hindi",part time,10-Senior Analyst,Microsoft frontend,dot net,btech,IN,optional,No,series,yes
troubleshooting call - login issue,custom software engineering analyst,Software Engineering > Quality Engineering,6,Advance Front End Development NodeJs,ASP.NET MVC,AWS,2,10,"english, japanese",part time,9-Team Lead/Consultant,Google cloud,management,btech,PH,required,No,series,yes
scrum call SAP project ,custom software engineering analyst,Technology & Information Architectures > Technology Architecture,10,Microsoft Functional Testing,Amazon Web Services (AWS),Scrum,6,12,"english, hindi",part time,11-Analyst,Google cloud,angular,btech,IN,required,yes,instance,yes
people lead connect - discuss queries,People Advisor Analyst,Software Engineering > Custom Software Engineering,29,Automated Testing,Agile Team Practices,Google cloud,12,10,"english, german",part time,11-Analyst,Microsoft backend,dot net,btech,IN,optional,No,instance,no
weekly status call ,People Advisor Analyst,Software Engineering > Custom Software Engineering,20,.NET Architecture,Angular,management ,5,12,"english, chinese",full time,10-Senior Analyst,Microsoft frontend,management,btech,IN,optional,No,series,no
people lead connect - discuss queries,Quality Engineering Team Lead,Technology & Information Architectures > Technology Architecture,29,Stakeholder Management,Culture Strategy,AWS,12,10,"english, japanese",part time,12-Associate,Azure,angular,mca,IN,required,No,series,yes
java training call,Quality Engineering Team Lead,Software Engineering > Packaged Application Development,13,.NET Architecture,Culture Strategy,SAP,17,12,"english, japanese",full time,10-Senior Analyst,SAP,dot net,btech,IN,optional,No,instance,yes
Test team status call,SW/App/Cloud Tech Support Assoc Manager,Technology & Information Architectures > Technology Architecture,6,Stakeholder Management,IT Troubleshooting,AWS,8,8,"english, japanese",full time,12-Associate,Cloud,angular,btech,IN,optional,No,instance,no
people lead connect - discuss queries,People Advisor Analyst,Information Technology Operations > Software/Application/Cloud Tech Support,28,Applications Architecture,IT Troubleshooting,Azure,6,11,"english, french",full time,9-Team Lead/Consultant,SAP,angular,btech,SL,optional,yes,series,yes
User login issue - client call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Quality Engineering Architecture,2,ASP.NET MVC,Jakarta Enterprise Beans,AWS,11,11,"english, japanese",full time,7-Manager,AWS,management,btech,IN,optional,No,instance,yes
java training call,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,15,Microsoft Azure Machine Learning,Microsoft Avanade Agile Framework (AAF),AWS,14,11,"english, japanese",full time,10-Senior Analyst,Cloud,Java,btech,US,optional,No,instance,yes
Test team status call,SW/App/Cloud Tech Support Assoc Manager,Training & Development > Business Interlock,13,.NET Architecture,Quality Engineering Strategy Implementation,management ,15,10,"english, japanese",part time,6-Senior Manager,Microsoft frontend,dot net,btech,PH,optional,No,series,yes
troubleshooting call - login issue,custom software engineering analyst,Software Engineering > Custom Software Engineering,22,Behavioral Sciences,Microsoft Avanade Agile Framework (AAF),management ,6,4,"english, hindi",part time,12-Associate,Azure,Java,mca,IN,required,No,instance,no
troubleshooting call - login issue,custom software engineering analyst,Human Resources > People Advisor,18,Applications Architecture,Vendor Management,front end,11,8,"english, hindi",part time,12-Associate,Google cloud,angular,mba,IN,optional,No,instance,no
Java proect KT call,custom software engineering analyst,Software Engineering > Packaged Application Development,11,Java Enterprise Edition,Quality Engineering Strategy Implementation,Azure,9,10,"english, hindi",full time,8-Associate Manager,Microsoft backend,SAP,btech,US,optional,No,series,yes
Java proect KT call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Quality Engineering,26,SAP ABAP Development,Jakarta Enterprise Beans,front end,1,12,"english, french",full time,8-Associate Manager,SAP,google cloud,btech,PH,required,No,instance,yes
weekly status call ,custom software engineering associate manager,Software Engineering > Quality Engineering Architecture,6,Advance Front End Development NodeJs,Avanade Scrum Project Management,AWS,1,12,"english, japanese",part time,10-Senior Analyst,Azure,SAP,mba,PH,required,No,instance,no
User login issue - client call,Quality Engineering Team Lead,Software Engineering > Custom Software Engineering,27,SAP ABAP Development,ASP.NET MVC,Google cloud,10,5,"english, hindi",full time,6-Senior Manager,Cloud,SAP,mba,IN,optional,No,instance,yes
people lead connect - discuss queries,Business Interlock Manager,Human Resources > People Advisor,10,SAP ABAP Development,Microsoft Avanade Agile Framework (AAF),management ,1,5,"english, chinese",part time,12-Associate,Cloud,Java,btech,PH,required,No,instance,yes
java training call,Quality Engineering Team Lead,Human Resources > People Advisor,18,Advance Front End Development NodeJs,Agile Team Practices,Azure,12,11,"english, hindi",part time,12-Associate,Google cloud,SAP,mba,US,required,yes,series,no
Test team status call,Quality Engineering Associate Manager,Human Resources > People Advisor,24,Applications Architecture,IT Troubleshooting,management ,7,4,"english, japanese",full time,11-Analyst,Microsoft frontend,Java,mba,IN,required,yes,instance,yes
Agile scrum KT call,SW/App/Cloud Tech Support Assoc Manager,Human Resources > People Advisor,10,ASP.NET MVC,Microsoft Avanade Agile Framework (AAF),Selenium,6,4,"english, japanese",part time,12-Associate,project management,SAP,mba,US,optional,yes,instance,yes
User login issue - client call,Packaged App Development Analyst,Sourcing & Procurement Services > Vendor Management,12,Business Operation Management,Microsoft Avanade Agile Framework (AAF),front end,16,5,"english, japanese",full time,12-Associate,SAP,google cloud,mca,US,required,yes,instance,yes
java training call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,28,Automated Testing,Candidate Relationship Management,Google cloud,13,5,"english, french",full time,11-Analyst,SAP,SAP,mca,IN,optional,No,instance,yes
User login issue - client call,Business Interlock Manager,Human Resources > Talent Strategy,9,Java Enterprise Edition,Microsoft Avanade Agile Framework (AAF),AWS,8,8,"english, hindi",full time,11-Analyst,Microsoft backend,angular,mba,PH,optional,No,instance,yes
weekly status call ,custom software engineering analyst,Information Technology Operations > Software/Application/Cloud Tech Support,29,Behavioral Sciences,Agile Team Practices,Azure,5,11,"english, hindi",full time,11-Analyst,Microsoft backend,google cloud,btech,IN,optional,No,series,yes
troubleshooting call - login issue,People Advisor Analyst,Software Engineering > Packaged Application Development,18,SAP ABAP Development,Angular,management ,18,10,"english, german",full time,7-Manager,Azure,Azure,mca,IN,optional,No,instance,no
scrum call SAP project ,People Advisor Analyst,Information Technology Operations > Software/Application/Cloud Tech Support,9,Microsoft Functional Testing,Vendor Management,Azure,11,8,"english, french",full time,12-Associate,Cloud,Azure,btech,CN,optional,No,instance,yes
people lead connect - discuss queries,Packaged App Development Analyst,Software Engineering > Packaged Application Development,27,Advance Front End Development NodeJs,Amazon Web Services (AWS),Selenium,8,8,"english, french",full time,12-Associate,Google cloud,angular,btech,IN,required,No,instance,yes
new vendor onboarding call,custom software engineering associate manager,Software Engineering > Custom Software Engineering,27,.NET Architecture,Avanade Scrum Project Management,management ,4,10,"english, japanese",full time,12-Associate,SAP,management,btech,CN,required,No,instance,no
weekly status call ,Custom Software Engineering Specialist,Software Engineering > Quality Engineering Architecture,6,Applications Architecture,Culture Strategy,Azure,11,11,"english, hindi",full time,9-Team Lead/Consultant,Azure,Java,mca,IN,optional,No,series,no
weekly status call ,custom software engineering analyst,Software Engineering > Packaged Application Development,1,Business Operation Management,Amazon Web Services (AWS),Azure,8,12,"english, chinese",full time,11-Analyst,SAP,management,btech,SL,required,No,series,yes
scrum call SAP project ,Packaged App Development Analyst,Software Engineering > Packaged Application Development,22,Business Operation Management,Vendor Management,management ,16,12,"english, japanese",full time,12-Associate,Microsoft frontend,angular,btech,IN,optional,No,series,yes
java training call,People Advisor Analyst,Human Resources > People Advisor,22,Communications Development and Delivery,Microsoft Avanade Agile Framework (AAF),Scrum,18,10,"english, chinese",part time,11-Analyst,Microsoft backend,Azure,mca,CN,required,No,series,no
troubleshooting call - login issue,Talent Strategy Senior Manager,Sourcing & Procurement Services > Vendor Management,27,Business Operation Management,ASP.NET MVC,Azure,4,4,"english, hindi",full time,10-Senior Analyst,Cloud,SAP,mca,PH,optional,yes,instance,yes
Java proect KT call,custom software engineering analyst,Human Resources > People Advisor,26,Automated Testing,IT Troubleshooting,management ,14,8,"english, hindi",full time,10-Senior Analyst,Microsoft frontend,management,btech,CN,optional,No,instance,yes
scrum call SAP project ,Quality Engineering Team Lead,Technology & Information Architectures > Technology Architecture,14,Stakeholder Management,IT Troubleshooting,Google cloud,1,12,"english, japanese",full time,10-Senior Analyst,Cloud,SAP,mca,IN,optional,yes,instance,no
new vendor onboarding call,Vendor Management Specialist,Software Engineering > Custom Software Engineering,15,Automated Testing,IT Troubleshooting,management ,3,12,"english, chinese",part time,9-Team Lead/Consultant,Cloud,SAP,btech,IN,optional,No,instance,yes
scrum call SAP project ,Tech Architecture Manager,Technology & Information Architectures > Technology Architecture,27,Communications Development and Delivery,Angular,Azure,6,5,"english, hindi",full time,12-Associate,Cloud,SAP,mba,IN,optional,No,instance,no
Test team status call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,5,Communications Development and Delivery,Microsoft Avanade Agile Framework (AAF),Selenium,6,11,"english, hindi",part time,8-Associate Manager,Microsoft backend,SAP,mca,CN,optional,No,instance,yes
new vendor onboarding call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,20,Communications Development and Delivery,Architectural Design,management ,1,12,"english, japanese",full time,12-Associate,Microsoft backend,Azure,mca,US,optional,No,series,no
new vendor onboarding call,People Advisor Analyst,Software Engineering > Packaged Application Development,29,Angular,SAP for Utilities ,Scrum,12,10,"english, hindi",full time,10-Senior Analyst,Microsoft backend,angular,mba,IN,required,No,instance,yes
Test team status call,Business Interlock Manager,Sourcing & Procurement Services > Vendor Management,29,Java Enterprise Edition,IT Troubleshooting,Google cloud,8,11,"english, japanese",part time,12-Associate,SAP,dot net,mca,SL,required,No,instance,no
scrum call SAP project ,Packaged App Development Analyst,Software Engineering > Packaged Application Development,2,Stakeholder Management,Avanade Scrum Project Management,management ,18,11,"english, japanese",full time,12-Associate,project management,dot net,mca,IN,optional,yes,instance,no
Java proect KT call,custom software engineering analyst,Software Engineering > Packaged Application Development,28,.NET Architecture,Angular,AWS,5,12,"english, german",full time,12-Associate,Cloud,Java,btech,IN,optional,No,series,yes
User login issue - client call,custom software engineering associate manager,Technology & Information Architectures > Technology Architecture,9,SAP ABAP Development,ASP.NET MVC,Google cloud,1,11,"english, japanese",full time,8-Associate Manager,Microsoft backend,angular,mca,CN,optional,yes,instance,yes
Test team status call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Custom Software Engineering,6,Behavioral Sciences,Avanade Scrum Project Management,Azure,5,3,"english, japanese",full time,12-Associate,SAP,management,btech,IN,optional,yes,instance,yes
scrum call SAP project ,People Advisor Analyst,Software Engineering > Custom Software Engineering,2,Microsoft Functional Testing,IT Troubleshooting,AWS,1,10,"english, german",part time,12-Associate,Azure,angular,mba,IN,optional,yes,instance,yes
Test team status call,Vendor Management Specialist,Software Engineering > Packaged Application Development,18,Behavioral Sciences,Amazon Web Services (AWS),management ,11,8,"english, hindi",full time,6-Senior Manager,Cloud,Java,mca,IN,required,yes,instance,yes
Test team status call,custom software engineering analyst,Training & Development > Business Interlock,28,Applications Architecture,Jakarta Enterprise Beans,front end,17,11,"english, chinese",full time,10-Senior Analyst,AWS,angular,mca,IN,optional,No,instance,no
weekly status call ,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,19,Angular,Amazon Web Services (AWS),SAP,16,8,"english, hindi",full time,9-Team Lead/Consultant,Google cloud,SAP,btech,CN,required,No,instance,yes
troubleshooting call - login issue,Business Interlock Manager,Software Engineering > Packaged Application Development,29,ASP.NET MVC,Vendor Management,Azure,18,10,"english, hindi",full time,11-Analyst,project management,dot net,mba,IN,optional,No,instance,yes
new vendor onboarding call,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,29,Advance Front End Development NodeJs,Amazon Web Services (AWS),Scrum,15,5,"english, japanese",full time,7-Manager,SAP,google cloud,mca,US,required,No,instance,no
Java proect KT call,Custom Software Engineering Specialist,Software Engineering > Quality Engineering,17,SAP ABAP Development,IT Troubleshooting,management ,2,3,"english, hindi",full time,7-Manager,project management,Java,bca,IN,optional,No,instance,yes
troubleshooting call - login issue,custom software engineering analyst,Sourcing & Procurement Services > Vendor Management,12,Stakeholder Management,Microsoft Avanade Agile Framework (AAF),Scrum,15,8,"english, french",full time,10-Senior Analyst,Microsoft frontend,angular,btech,IN,required,No,series,yes
troubleshooting call - login issue,Quality Engineering Team Lead,Software Engineering > Packaged Application Development,20,SAP ABAP Development,Microsoft Avanade Agile Framework (AAF),AWS,12,10,"english, chinese",full time,9-Team Lead/Consultant,Microsoft backend,Java,btech,IN,required,yes,instance,yes
new vendor onboarding call,custom software engineering associate manager,Software Engineering > Custom Software Engineering,17,Applications Architecture,Angular,Azure,1,12,"english, hindi",full time,9-Team Lead/Consultant,SAP,Java,btech,PH,optional,yes,instance,yes
scrum call SAP project ,custom software engineering analyst,Software Engineering > Quality Engineering,14,Business Operation Management,Jakarta Enterprise Beans,AWS,19,10,"english, japanese",part time,11-Analyst,Microsoft frontend,angular,mca,IN,required,No,series,no
people lead connect - discuss queries,Vendor Management Specialist,Training & Development > Business Interlock,29,Communications Development and Delivery,Vendor Management,Google cloud,6,4,"english, japanese",full time,12-Associate,Cloud,google cloud,mca,PH,required,yes,series,no
Agile scrum KT call,custom software engineering associate manager,Software Engineering > Custom Software Engineering,2,Business Operation Management,Microsoft Avanade Agile Framework (AAF),Azure,19,6,"english, hindi",part time,12-Associate,project management,google cloud,mca,CN,optional,yes,instance,yes
scrum call SAP project ,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,6,Business Operation Management,Microsoft Avanade Agile Framework (AAF),Azure,17,12,"english, hindi",full time,9-Team Lead/Consultant,Azure,SAP,bca,US,optional,No,instance,no
troubleshooting call - login issue,custom software engineering analyst,Training & Development > Business Interlock,4,Microsoft Azure Machine Learning,IT Troubleshooting,java,19,8,"english, hindi",part time,9-Team Lead/Consultant,AWS,angular,btech,IN,optional,No,series,no
weekly status call ,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Quality Engineering Architecture,2,Angular,Angular,Scrum,17,11,"english, hindi",full time,12-Associate,Google cloud,angular,mba,CN,optional,No,instance,yes
new vendor onboarding call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Custom Software Engineering,10,SAP ABAP Development,Microsoft Avanade Agile Framework (AAF),Azure,18,3,"english, french",full time,12-Associate,Cloud,Azure,btech,PH,optional,No,series,yes
scrum call SAP project ,custom software engineering analyst,Human Resources > People Advisor,25,Applications Architecture,IT Troubleshooting,Scrum,6,11,"english, hindi",part time,12-Associate,project management,management,bca,IN,required,No,series,no
Test team status call,Quality Engineering Associate Manager,Software Engineering > Quality Engineering Architecture,9,SAP ABAP Development,Quality Engineering Strategy Implementation,java,13,12,"english, hindi",full time,12-Associate,project management,Azure,bca,SL,optional,yes,instance,yes
scrum call SAP project ,Packaged App Development Analyst,Sourcing & Procurement Services > Vendor Management,21,Automated Testing,Agile Team Practices,Selenium,16,11,"english, japanese",full time,12-Associate,project management,Java,bca,IN,optional,yes,instance,no
java training call,Vendor Management Specialist,Human Resources > People Advisor,21,Stakeholder Management,Jakarta Enterprise Beans,Google cloud,7,10,"english, chinese",full time,12-Associate,Azure,SAP,btech,IN,required,No,instance,yes
new vendor onboarding call,Quality Engineering Team Lead,Human Resources > People Advisor,24,Java Enterprise Edition,Angular,SAP,18,5,"english, hindi",full time,11-Analyst,Microsoft frontend,google cloud,btech,PH,optional,No,instance,yes
Agile scrum KT call,Packaged App Development Analyst,Sourcing & Procurement Services > Vendor Management,17,Angular,Avanade Scrum Project Management,Selenium,19,10,"english, hindi",part time,12-Associate,Microsoft backend,Azure,btech,PH,optional,No,instance,yes
scrum call SAP project ,Custom Software Engineering Specialist,Software Engineering > Packaged Application Development,17,ASP.NET MVC,Microsoft Avanade Agile Framework (AAF),SAP,19,5,"english, hindi",full time,11-Analyst,Google cloud,SAP,bca,SL,required,yes,instance,yes
new vendor onboarding call,Packaged App Development Analyst,Training & Development > Business Interlock,9,Behavioral Sciences,Amazon Web Services (AWS),management ,13,10,"english, hindi",full time,11-Analyst,Microsoft backend,management,mca,PH,required,yes,instance,no
java training call,Business Interlock Manager,Software Engineering > Quality Engineering,26,Stakeholder Management,Amazon Web Services (AWS),java,16,11,"english, hindi",full time,12-Associate,Microsoft frontend,Azure,btech,SL,required,No,instance,no
troubleshooting call - login issue,Vendor Management Specialist,Technology & Information Architectures > Technology Architecture,3,Communications Development and Delivery,Vendor Management,Azure,13,6,"english, hindi",full time,6-Senior Manager,Cloud,Azure,mca,PH,optional,yes,instance,no
Agile scrum KT call,Tech Architecture Manager,Software Engineering > Custom Software Engineering,25,Advance Front End Development NodeJs,Jakarta Enterprise Beans,Azure,13,5,"english, hindi",part time,7-Manager,SAP,google cloud,mca,IN,required,No,instance,yes
java training call,Packaged App Development Analyst,Human Resources > People Advisor,1,Java Enterprise Edition,Culture Strategy,AWS,6,11,"english, chinese",full time,9-Team Lead/Consultant,Microsoft backend,dot net,btech,PH,required,yes,instance,no
scrum call SAP project ,Quality Engineering Team Lead,Human Resources > Talent Strategy,8,ASP.NET MVC,Quality Engineering Strategy Implementation,Azure,14,8,"english, hindi",part time,9-Team Lead/Consultant,SAP,Java,btech,IN,optional,No,instance,no
Java proect KT call,Quality Engineering Associate Manager,Software Engineering > Custom Software Engineering,6,Business Operation Management,Microsoft Avanade Agile Framework (AAF),AWS,3,10,"english, hindi",full time,12-Associate,AWS,Java,mba,IN,required,No,series,no
weekly status call ,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,6,Microsoft Azure Machine Learning,Quality Engineering Strategy Implementation,SAP,6,12,"english, japanese",full time,11-Analyst,Microsoft frontend,angular,btech,PH,optional,No,instance,yes
weekly status call ,Tech Architecture Manager,Sourcing & Procurement Services > Vendor Management,18,Stakeholder Management,Angular,management ,16,8,"english, hindi",full time,12-Associate,SAP,SAP,btech,PH,required,No,series,yes
weekly status call ,custom software engineering analyst,Software Engineering > Quality Engineering Architecture,4,Microsoft ASP.NET,Microsoft Avanade Agile Framework (AAF),management ,11,11,"english, french",part time,10-Senior Analyst,Azure,Java,btech,IN,optional,No,instance,yes
java training call,Tech Architecture Manager,Software Engineering > Quality Engineering Architecture,26,SAP ABAP Development,Agile Team Practices,java,16,8,"english, japanese",full time,10-Senior Analyst,Microsoft frontend,dot net,btech,US,optional,No,instance,yes
scrum call SAP project ,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Quality Engineering Architecture,10,Microsoft Functional Testing,Candidate Relationship Management,Scrum,10,10,"english, chinese",full time,10-Senior Analyst,SAP,management,btech,IN,optional,yes,instance,yes
scrum call SAP project ,Custom Software Engineering Specialist,Sourcing & Procurement Services > Vendor Management,3,Behavioral Sciences,Agile Team Practices,java,2,12,"english, chinese",full time,10-Senior Analyst,SAP,dot net,btech,IN,required,No,instance,no
java training call,Quality Engineering Team Lead,Software Engineering > Quality Engineering,1,Microsoft Functional Testing,Microsoft Avanade Agile Framework (AAF),AWS,6,10,"english, hindi",part time,7-Manager,Microsoft backend,dot net,bca,US,optional,No,instance,yes
Java proect KT call,Talent Strategy Senior Manager,Software Engineering > Custom Software Engineering,27,Behavioral Sciences,Angular,management ,15,8,"english, french",full time,10-Senior Analyst,Google cloud,google cloud,btech,IN,optional,No,instance,no
people lead connect - discuss queries,Packaged App Development Analyst,Human Resources > People Advisor,15,Microsoft Azure Machine Learning,Avanade Scrum Project Management,AWS,17,11,"english, german",full time,12-Associate,AWS,Azure,btech,CN,optional,yes,series,yes
Java proect KT call,Business Interlock Manager,Software Engineering > Custom Software Engineering,25,Automated Testing,Microsoft Avanade Agile Framework (AAF),Azure,4,10,"english, hindi",full time,10-Senior Analyst,Microsoft frontend,Java,mba,US,optional,yes,instance,yes
new vendor onboarding call,custom software engineering analyst,Human Resources > Talent Strategy,6,Microsoft ASP.NET,Angular,SAP,6,10,"english, chinese",full time,11-Analyst,Azure,SAP,btech,IN,optional,yes,instance,yes
new vendor onboarding call,Tech Architecture Manager,Software Engineering > Custom Software Engineering,11,Microsoft ASP.NET,SAP for Utilities ,Google cloud,7,11,"english, japanese",full time,9-Team Lead/Consultant,AWS,dot net,mba,IN,required,yes,instance,yes
weekly status call ,Business Interlock Manager,Human Resources > People Advisor,4,Microsoft Azure Machine Learning,SAP for Utilities ,AWS,10,8,"english, french",part time,12-Associate,SAP,dot net,btech,IN,required,No,instance,no
User login issue - client call,Vendor Management Specialist,Training & Development > Business Interlock,2,Business Operation Management,Candidate Relationship Management,front end,4,8,"english, french",full time,12-Associate,Cloud,Java,mca,IN,optional,No,instance,yes
